Word1;Word2;Word3;Word4;Word5;Word6;Word7;Word8;Word9;Word10;Word11;Word12;Word13;Word14;Word15;Word16;Word17;Word18;Word19;Word20;Word21;Word22;Word23;Word24;Word25;Word26;Word27;Word28;Word29;Word30;Word31;Word32;Word33;Word34;Word35;Word36;Word37;Word38;Word39;Word40;Word41;Word42;Word43;Word44;Word45;Word46;Word47;Word48;Char1;Char2;Char3;Char4;Char5;Char6;Capitalrun1;Capitalrun2;Capitalrun3;Spam
0,17;0;0,17;0,17;1,44;0,34;0,05;0,05;0,05;0,05;0,05;0,51;0,28;0,05;0;0;0,69;0,05;4,14;0,23;1,09;0,17;0,74;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0,05;0;0,01;0,161;0,03;2,051;51;521;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;5;-1
0;0,34;1,02;0;0,68;0,34;0,34;0;0;0;0;0,34;0;0;0;2,04;0;0,34;4,76;0;2,38;0;0;0,34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,161;0;0,215;0;3,879;6,978;56;328;1
0;0;0;0;0;0;0;0;0;0;0;0;5,55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,26;0;2,444;10;44;1
0,34;0,05;0,58;0;0,63;0,17;0;0;0,75;0,23;0,34;1,27;0,34;0;0;0,58;0,05;0,17;3,01;2,61;1,5;0;0,17;0,34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,204;0;0,13;0,186;0,027;4,225;131;1107;1
1,01;0,33;0,5;13,63;0;0,67;0;0,16;1,34;0,33;0;0,67;0;0,16;0;0,5;0;0,16;2,02;0,33;0,84;0;0;1,17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,204;0;0,613;0,229;0,051;9,652;151;888;1
0;0;0;0;0,63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,31;0;0;0;0;0;0;1,26;0;0;0;0;0;0;0;0,31;0;0;0;0,31;0;0;0;0;0,14;0;0;0;0;1,592;7;129;-1
0,08;0,17;0,34;0;1,46;0,17;0,08;0;0,25;0,08;0;1,37;0;0,08;0;0,51;0,08;0,08;3,43;0;0,77;0;0,08;0,17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,077;0,064;0,348;0,103;0,012;5,392;119;1456;1
0;0;0;0;0,94;0;0;0;0;0;0;0;0;0;0;0;0;0;1,88;0;2,83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,443;0;0;4,652;31;107;1
0;0;0;0;0;0;0,57;0;0;0,57;0;1,15;0,57;0;0;0;0;0,57;4,62;0;1,15;0;0;0,57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,518;0;0;10,117;33;172;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,12;0;0;0;0;0;0;0;0;0;0;0;1,28;0;2,56;0;0;0;0;0;0;0;0;0;0;0,131;0;0,262;0;0;1,625;7;65;-1
0;0;0,71;0;0,23;0;0;0;0,23;0,23;0,23;1,9;0;0;0;0,23;0;0;3,81;0,23;1,19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,112;0;1,046;0,037;0;4,022;97;543;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,844;0;0;1,666;5;15;1
0;0;0;0;0,75;0;0;0;0;0;0;0;0;0;0;0;0;0;1,5;0;0;0;0;0;3,75;3;2,25;0,75;0,75;0,75;0,75;0,75;0;0,75;0,75;0,75;0,75;0;0,75;0,75;0;0,75;0,75;0;0,75;0;0;0;0;0,222;0;0;0;0;1,833;12;77;-1
0,31;0;0,63;0;0,47;0,47;0,15;0,79;0,15;0,63;0,31;1,42;0;0;0;0;1,58;0;2,05;1,58;3,95;0;0,15;0,47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,15;0;0;0;0;0,15;0;0;0;0;0,076;0;1,3;0,127;0;5,241;97;650;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,54;0;0;0;0;0;0;0;0;0;4,54;0;4,54;0;0;0;0;0;0;0;0;0;0,675;1,351;0;0;0;0;3,7;26;37;-1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,29;0;0;0;0;0;2,29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,76;0;0;0;0;0,258;0;0;0;0;3,74;53;101;-1
0;0;0;0;0;0;0;0;0;1,38;0;0;0;0;0;0;0;1,38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,38;2,77;0;0;0;0,213;0;0;0;0;1,72;11;43;-1
0;0;0;0;0;0;0;0;0;0;0;0;1,47;0;0;0;0;0;2,94;0;2,94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,47;0;0;0;0;0;0;0;0;4,312;47;69;-1
0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,613;0;0;1;1;14;-1
0;0;0,32;0;0,32;0;0;0;0;0;0;0,64;0;0;0;0;0;0;0,32;0;0;0;0;0;0,64;0,64;0;0;0;0;0;0;0;0;0;0,32;0,64;0;0;0;0;0;0;0;0;0;0;0;0;0,04;0;0;0;0;1,902;10;175;-1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,4;2;7;-1
0;0;2,5;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,303;0;0,909;0;0;2,857;11;40;1
0,99;0;0,99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,98;2,97;0;0;0;0;0;0,186;0;0;1,937;15;62;-1
0;0;0,27;0;0;0,27;0;0;0;0;0;0,27;1,39;0;0;0,27;0;0,27;2,79;0;0,55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,27;0,27;0;0;0,051;0;0;0;0;0;1,195;6;55;-1
0;0;0;0;0;0;0;0;0;3,92;0;0;0;0;0;0;0;0;1,96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,55;3;31;1
0;0;0;0;0;0;0;0;0;0;0;0;0;2,63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,8;7;18;-1
0;0;0;0;0;0;0;0;0;0;0;1,01;0;0;0;0;0;0;0;0;1,01;0;0;0;1,01;0;0;0;0;0;0;0;0;0;2,02;1,01;0;0;1,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,108;25;115;-1
0;0;0;0;0;0;0;0;0;2,17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,04;0;0;0;0;4,34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,407;3,555;19;96;-1
0,3;0;0,15;0;0;0,15;0,3;0;0;0;0;0,3;0;0;0;0;0;0;0,75;0;0,3;0;0;0;0,75;0,3;0,3;0,15;0,15;0,15;0,15;0,15;0,45;0,15;0,15;0,15;0,15;0;0,15;0,15;0;0;0,15;0,75;0,15;0;0;0;0;0,328;0,046;0;0;0;1,703;12;155;-1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0,724;0;0;2,285;8;16;-1
0;0;1,58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,76;1,58;1,58;3,17;0;1,58;0;0;0;0;1,58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,4;0;0;0,601;0;3,36;13;84;-1
0,44;0;0,88;0;0,44;1,32;0;0;0;0;0;0;0;0;0;0;0;0,44;1,76;0;2,2;0;2,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,222;0;0;0,444;0,37;0;2,413;16;140;1
0,06;0;0;0;0;0,12;0;0;0;0,12;0;0,19;0;0;0,06;0,19;0,12;0;1,74;0,06;1,23;0;0,25;0,06;2,26;0,38;0,06;0,19;0;0,19;0,32;0;0;0;0,25;0;0,32;0;0,19;0;0;0;0;0;0,06;0;0;0,12;0;0,33;0,018;0,064;0,055;0;2,024;25;897;-1
0;0,46;0,46;0;2,8;0;0;0;0;0;0;1,4;0;0;0;1,4;0;1,4;1,86;0;0,46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,93;0;0;0;0;0;0;0;0;0;0;0;0;0,148;0;0,74;0;0;2,673;21;139;1
0;0;0;0;1,26;0;2,53;1,26;1,26;1,26;1,26;1,26;0;0;0;0;5,06;0;2,53;1,26;3,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,537;0;0;72,5;287;290;1
0;2,4;0;0;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;2,4;0;0;0;0;0;1,6;0;0;0;0;0;0;0;0;0;0;0;0,8;0;0;0;0;1,6;0;0;0;0,8;0;0;0,12;0;0;0;0;0;1,696;15;56;-1
0;0;0,74;0;0;0;0;0;0;0,74;0;0;0,37;0,74;0;0;0,37;0;0,37;0;0,37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,11;0;0;0;0;0;0;0,37;0;0;0;0;0;0,245;0;0;0;0;4,666;64;196;-1
0;0,32;0;0;0;0;0;0;0,32;0;0;1,29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,037;0;0;0;0;2,391;36;110;1
0;0;0;0;0;0;0;0;0;0;0;1,81;0;0;0;0;0;0;0;0;1,81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,309;0;0;1,333;11;56;1
0;0;0;0;0;0;0;0;0;0,64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,64;0;0,64;0;0;0;0,64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,314;0,209;0;0;0,104;4,062;28;195;-1
0;0,37;0;0;0;0,74;1,12;0;0;0;0,74;1,49;0,74;0;0;0,37;0;1,49;4,49;0;1,87;0;0;0,74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,223;0,223;0;2,021;10;93;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47;0;0,47;0;0;0;0,47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,074;0,298;0;0;0,074;4,268;28;286;-1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,17;0;0;0;0;0,421;0;0,21;0,632;0;3,75;15;60;1
0;0;0;0;0;0;0;0;0;0;0;0,89;0;0;0;0;0;0;0,89;0;0;0;0;0;1,78;1,78;0;0,89;0;0;0;0;0;0;0,89;0,89;0;0;0;0;0;0;0;0;0;0;0;0,89;0;0,537;0;0;0;0,268;2,292;12;94;-1
0,1;0;0,1;0;0,1;0,1;0;0,4;0;0;0,1;0,8;0;0;0;0;0;0,1;0,1;0;0;0;0;0;0,1;0;0;0,1;0;0;0;0;0,1;0;0;0;0,3;0;0,1;0;0;0,4;0,2;0,2;0;0,8;0;0;0,015;0,136;0,015;0;0,015;0;1,636;18;527;-1
0;0;0;0;0;0;0;0;0;0;0;4,58;0;0;0;0;0,91;0;0;0;0,91;0;0;0;1,83;0;0;0;0;0,91;0;0;0;0;0;0,91;0;0;0,91;0;0;0;0;0;0;0;0;0;0;0,124;0;0,249;0;0;2,576;14;67;-1
0,32;0;1,64;0;0,98;0;0,32;0;0,65;1,31;0;0;0;0;0;0;0;0;0,32;0,98;0,65;0;0;0;0,32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,858;0,101;0;337,25;1146;1349;1
0,07;0;0,14;0;0,07;0;0;0;0,74;0;0;0,22;0;0,07;0;0;0;0,07;0,29;0;0,22;0;0;0;0,74;0,81;0,07;0;0;0;0;0;0,22;0;0;0;0,44;0;0;0;0;0;0;0;0;0;0;0;0,116;0,2;0,042;0;0,021;0;2,79;36;681;-1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,03;0;0;0;0;0;0;0;3,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,03;0;0;0;0;0;0;0;0;0;1,272;4;14;-1
0,52;0,42;0,35;0;0,14;0,03;0,03;0,1;0,56;0,8;0,28;0,7;0,56;1,19;0,03;0,24;0,45;0;3,19;0;1,43;0;0,38;0,63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,07;0;0;0;0;0,077;0;0,453;0,543;0,119;6,305;286;2207;1
0;0,06;0,2;0;0,61;0,13;0;0;0,75;0;0,27;0,75;0,27;0;0;0;0,2;0,13;1,16;0;1,23;0;0,06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,06;0;0,06;0;0;0;0,034;0,057;0;0,472;0,092;0,023;2,086;104;703;1
0,26;0,46;0,99;0;0,53;0;0;0,53;0,19;1,12;0,26;0,73;0,66;0;0,06;0,26;0,13;0,26;3,78;0;3,32;0;0,39;0,26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,011;0,023;0;0,449;0,265;0,034;13,235;272;1575;1
0;0;0;0;0,9;0;0;0;0;0;0;1,8;0;0;0;0;0;0;1,8;0;0,9;0;0;0;0;0;0;0;2,7;0;0;0;0;0;0;0;0;0;0;0;0;2,7;0;0;0;0;0;0;0;0;0;0;0;0;1,631;8;31;-1
0,98;0,16;0,41;0;0,16;0,24;0;0,16;0;0,49;0,08;0,57;0,9;0;0,16;0;0;0,32;2,37;0;1,23;0;0,49;1,14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,096;0;0,736;0,256;0,096;4,123;84;701;1
0,19;0;0,59;0;0;0;0;0;0;0,39;0;0;0;0;0;0;0;0;2,59;0;0,39;0;0;0;0,79;0,39;0,59;0,39;0,39;0,39;0,39;0,39;0;0,39;0,39;0,39;0,19;0;0;0,39;0;0;0,19;0;1,19;0;0;0;0,093;0,657;0,062;0;0;0,062;2,156;13;207;-1
0;0;0,42;0;0;0;0,21;0;0;0,21;0;0,42;0;0;0;0;0;0,21;1,49;0;0,42;0;0;0;0,21;0,21;0;0;0;0;0;0;0,21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,034;0,139;0,034;0;0,069;0;3,151;37;312;-1
0,63;0;0,63;0;1,27;0;0,63;0;0;0;0;0,63;0;0;0;0,63;0,63;0;1,27;0;2,54;0;0,63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0,501;0,3;0;2,458;22;118;1
0;0;0,81;0;0,81;0;0;0;0;0;0;0;0;0;0;0;0,81;0;3,27;0;0,81;1,63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,26;0;0,651;13,5;86;189;1
0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;2;0;2;0;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0,18;0;0;0;0;1,611;10;29;-1
0,62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,62;0;0;0;0;0;0;0;0;0;0;0;0;0;0,286;0;0;0;0;1,461;4;38;-1
0,09;0;0,27;0;0,36;0,09;0;0,18;0,09;0;0;0,81;0;0,36;0;0;0;0;1,99;0;3,35;0;0,36;0,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,27;0;0;0;0,015;0,047;0,031;0,253;0,031;0,031;3,771;69;528;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,66;0;0;0;0;0;0;1,66;0;5;0;0;0;0;0;0;0;0;3,125;15;50;-1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,69;0;0;0;0;0;0;0;7,69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,285;2;9;-1
0;0;1,66;0;0;0;0;0;0;0;0;1,66;0;0;0;0;0;0,83;2,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,151;0;0;1,518;8;41;-1
0,4;0,18;0,32;0;0,25;0,18;0,03;1,01;0,4;0,4;0,1;0,72;0,65;0,36;0,25;0,54;0,36;0,36;3,05;0,14;1,41;0;0,29;0,76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03;0;0;0;0;0,07;0;0;0;0,012;0,042;0,073;0,337;0,141;0;3,305;181;1613;1
0;0;0,36;0;0;0;0;0;0,36;0;0;0;0;0;0;0;0;0,36;1,84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,236;0;0;0;0;1,277;3;69;-1
0;0;0;0;0;0,33;0;0;0;0;0;0;0,82;0,16;0;0;0;0;0,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,49;0,16;0;0;0,019;0,039;0;0,059;0;0;1,632;47;191;-1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,88;0;0;0;0;0;0;1,88;0;0;0;0;0;0;0;0;0;0,277;0;0;3;17;51;-1
0;0,29;0,29;0;0,29;0;0;0,29;0;0;0,29;1,45;0;0;0;0;0,58;0;1,16;0;1,45;0;0;0;0,87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,037;0,113;0;0;0,037;0;1,531;7;147;-1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,66;0;0,33;0;0;0;5,66;2,66;2;0,66;0,66;0,66;0,66;0,66;0;0,66;0,66;0,66;0,66;0;0,33;0,66;0;0;0,66;0;0,66;0;0;0;0,101;0,254;0,101;0,05;0,05;0;2,725;15;248;-1
0;0,19;1,08;0;0,79;0,79;0,49;0;0,89;0,29;0,29;0,69;0,29;0;1,58;0,09;0;1,08;1,38;0,19;0,69;0;0,59;0,19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,19;0;0,09;0,09;0;0;0;0,092;0;0,417;0,154;0,015;8,323;669;1365;1
0;0;0;0;0;0,51;0;0;0;0;0;0;0;0;0;0;0;0,51;3,06;0;1,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,51;0;0;0;0,091;0;0,091;0;0;1,586;4;46;-1
0;0,1;0;0;0;0;0;0,2;0;0;0;0,3;0;0;0;0;0,05;0,05;0,05;0;0;0;0;0;0,3;0,2;0;0,05;0;0,05;0;0;0,05;0;0;0,2;0,41;0;0;0;0;0;0;0,1;0,05;0,2;0;0,35;0;0,141;0;0;0;0;1,997;87;1620;-1
0;0,28;0,28;0;0,86;0;0;0;0;0,28;0,28;0;0;0;0;0;0;0;2,87;0;1,72;0;0;0;0,28;0,28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,57;0;0;0;0;0,137;0;0;0;0;1,95;15;156;-1
0,1;0,5;0,6;0;0,3;0,2;0;0;0,1;0,4;0;1,6;0,2;0;0;0;0,1;0;3,81;0;1,1;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,78;0,037;0;5,942;1,334;0;5,838;54;724;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,16;0;0;0;0;0;0;0;0;0;0;0;0;0,16;0,16;0;0;0;0;0;0;0;0;0,76;0,028;0;0;0;3,989;33;738;-1
0;0;0;0;0;0,76;0;0;0;0;0;0,76;0;0,76;0;0;0;0;1,53;0;0,76;0;0;0;0;0;0,76;0;0;0;0;0;0,76;0;0;0;0;0;0;0;0;0,76;0;0;0;0;0;0;0,133;0,133;0;0;0;0;1,269;4;33;-1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,68;0;0;0;0;0,112;0;0;0,903;0;2,285;14;80;-1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,375;4;11;-1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,05;0;0;0;0;2,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,05;0;0;0;0;0;0;0;1,806;0;0;1,293;5;75;1
0;2,59;1,29;0;1,29;0;0;0;0;0;0;1,29;0;0;0;0;0;0;2,59;0;0;0;0;0;0;0;1,29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,29;0;0;0;0;0;0;0;0;0;1;1;13;-1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,523;0;0;2,272;9;25;-1
0,45;0,68;0,68;0;1,92;0;0,56;0,45;0;0,45;0,22;1,81;0;0;0,79;0,22;0,11;1,81;2,38;0;1,36;0;0,11;0,22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,11;0;0;0;0;0;0,11;0;0;0,019;0,057;0;0,574;0,134;0,019;3,155;94;385;1
0,07;0,22;0,82;0;0,52;0;0,07;0;0,67;0,59;0,22;0,82;0,07;0;0,14;0;0,07;0;3,29;0,22;1,87;0;0;0,22;0;0;0;0;0;0;0;0;0;0;0,07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,095;0;0,119;0,071;0,167;3,429;74;974;1
0,84;0,84;0;0;0;0;1,69;0;0,84;0,84;0;0,84;0;0;0;10,16;0,84;0;0,84;0;2,54;0;0;0,84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,113;0,278;0,092;173;418;519;1
0,49;0;0,99;0;0;0,99;0;0;0;0,99;0,99;2,48;0,49;0;0;4,97;0,99;0;3,48;0;1,99;0;0,49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,34;0;0,17;0;0;1,468;8;94;1
